sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
1984A9,G18,3,345,1,3,2,484,63.5,0,12,3,2,0.4416,23.8101,11.0164,3.0399
2014B131,G19,3,345,1,1,3,488,70,0,14,6,2,0.4336,23.7076,10.9519,3.1393
1984A12,G2,3,345,1,2,2,486,77.5,0.1823215567939546,14,5,1,0.408,21.4453,10.1936,2.9575
1988B133,G20,3,345,1,2,3,486,91,-0.10536051565782628,14,4,1,0.446,24.3881,11.6078,3.0284
1984B113,G22,3,344,1,3,2,479,93,0,15,4,3,0.4296,25.0055,11.9865,3.0499
1984B116,G23,3,345,1,1,2,480,81,0,14,8,2,0.3877,23.9482,11.2939,3.0357
2002D221,G25,3,346,1,2,2,481,81.5,-0.2231435513142097,14,5,2,0.4099,23.4434,11.9685,2.8372
1984B142,G27,3,345,1,1,2,481,87.5,-0.35667494393873245,15,3,2,0.4116,24.525,12.2908,2.8391
1984C156,G28,3,344,1,1,2,480,74.5,-0.10536051565782628,13,4,1,0.4783,24.685,10.7585,3.2593
1984C159,G29,3,345,1,2,2,478,76,-0.2231435513142097,15,3,3,0.3902,23.2514,11.4375,2.9247
1984A29,G3,3,345,1,1,2,482,65,-0.10536051565782628,16,4,3,0.3665,20.9112,10.4086,2.8001
2002C168,G30,3,345,0,5,2,473,109,0.09531017980432493,16,3,3,0.4916,24.749,10.8893,3.2084
1984C173,G31,3,346,0,1,2,480,90,-0.35667494393873245,11,5,3,0.493,25.9255,12.5693,2.9524
1984D215,G32,3,345,1,1,3,489,59,-0.10536051565782628,11,4,1,0.3973,23.4733,11.2557,2.9794
1984D220,G33,3,345,1,3,2,478,72.5,-0.10536051565782628,13,3,2,0.438,23.7018,11.3294,2.9155
1984D227,G34,3,344,1,2,2,484,92.5,-0.2231435513142097,15,4,3,0.4183,24.1825,11.6807,2.9426
1988A11,G36,3,345,1,1,2,484,79,-0.10536051565782628,14,4,3,0.4942,27.1051,12.6138,3.1114
